date_sk,date_time,date,year,month,day,weekday,hour,is_weekend
0,2025-08-21 09:00:00,2025-08-21,2025,8,21,Thursday,9,False
1,2025-08-21 03:00:00,2025-08-21,2025,8,21,Thursday,3,False
2,2025-08-20 21:00:00,2025-08-20,2025,8,20,Wednesday,21,False
3,2025-08-21 16:00:00,2025-08-21,2025,8,21,Thursday,16,False
4,2025-08-21 17:00:00,2025-08-21,2025,8,21,Thursday,17,False
5,2025-08-21 11:00:00,2025-08-21,2025,8,21,Thursday,11,False
6,2025-08-21 10:00:00,2025-08-21,2025,8,21,Thursday,10,False
7,2025-08-21 12:00:00,2025-08-21,2025,8,21,Thursday,12,False
8,2025-08-21 15:00:00,2025-08-21,2025,8,21,Thursday,15,False
9,2025-08-23 07:00:00,2025-08-23,2025,8,23,Saturday,7,True
10,2025-08-23 03:00:00,2025-08-23,2025,8,23,Saturday,3,True
11,2025-08-22 21:00:00,2025-08-22,2025,8,22,Friday,21,False
12,2025-08-23 16:00:00,2025-08-23,2025,8,23,Saturday,16,True
13,2025-08-23 17:00:00,2025-08-23,2025,8,23,Saturday,17,True
14,2025-08-23 11:00:00,2025-08-23,2025,8,23,Saturday,11,True
15,2025-09-03 19:00:00,2025-09-03,2025,9,3,Wednesday,19,False
16,2025-09-03 03:00:00,2025-09-03,2025,9,3,Wednesday,3,False
17,2025-09-03 21:00:00,2025-09-03,2025,9,3,Wednesday,21,False
18,2025-09-03 16:00:00,2025-09-03,2025,9,3,Wednesday,16,False
19,2025-09-03 17:00:00,2025-09-03,2025,9,3,Wednesday,17,False
20,2025-09-04 10:00:00,2025-09-04,2025,9,4,Thursday,10,False
